"Date"	"MaxTemperature	"MinTemperature	"Month"	"WeekDay"	"is_WeekDay"	"Holiday"	"Index"
2012-12-28 00:00:00	11.280000000000001	7.748571428571428	12	4	1	Day
2012-12-29 00:00:00	12.688571428571427	5.837142857142857	12	5	0	Day
2012-12-30 00:00:00	10.825714285714286	6.145714285714287	12	6	0	Day
2012-12-31 00:00:00	10.957142857142854	5.5285714285714285	12	0	1	Day
2013-01-01 00:00:00	8.86857142857143	4.65	1	1	1	Holiday
2013-01-02 00:00:00	8.48	3.8628571428571425	1	2	1	Day
2013-01-03 00:00:00	9.49142857142857	4.8428571428571425	1	3	1	Day
2013-01-04 00:00:00	10.262857142857143	6.720000000000001	1	4	1	Day
2013-01-05 00:00:00	9.391428571428573	6.6171428571428565	1	5	0	Day
2013-01-06 00:00:00	8.751428571428571	5.8828571428571435	1	6	0	Day
2013-01-07 00:00:00	7.96857142857143	4.434285714285715	1	0	1	Day
2013-01-08 00:00:00	6.617142857142857	3.285714285714285	1	1	1	Day
2013-01-09 00:00:00	6.042857142857143	2.674285714285714	1	2	1	Day
2013-01-10 00:00:00	8.485714285714286	4.168571428571428	1	3	1	Day
2013-01-11 00:00:00	8.282857142857143	3.604285714285715	1	4	1	Day
2013-01-12 00:00:00	6.834285714285713	2.1999999999999997	1	5	0	Day
2013-01-13 00:00:00	4.877142857142857	2.3314285714285714	1	6	0	Day
2013-01-14 00:00:00	3.4485714285714284	0.78	1	0	1	Day
2013-01-15 00:00:00	3.740000000000001	1.0571428571428572	1	1	1	Day
2013-01-16 00:00:00	2.1514285714285712	-2.01	1	2	1	Day
2013-01-17 00:00:00	0.6971428571428571	-2.9685714285714284	1	3	1	Day
2013-01-18 00:00:00	0.6828571428571428	-3.3857142857142857	1	4	1	Day
2013-01-19 00:00:00	3.105714285714286	-0.1228571428571429	1	5	0	Day
2013-01-20 00:00:00	2.8114285714285714	0.8585714285714285	1	6	0	Day
2013-01-21 00:00:00	4.868571428571428	0.8171428571428572	1	0	1	Day
2013-01-22 00:00:00	5.8028571428571425	1.4028571428571428	1	1	1	Day
2013-01-23 00:00:00	4.651428571428571	1.314285714285714	1	2	1	Day
2013-01-24 00:00:00	4.085714285714285	0.21999999999999997	1	3	1	Day
2013-01-25 00:00:00	2.5428571428571427	-1.734285714285714	1	4	1	Day
2013-01-26 00:00:00	5.914285714285715	-1.0771428571428572	1	5	0	Day
2013-01-27 00:00:00	7.6885714285714295	2.942857142857143	1	6	0	Day
2013-01-28 00:00:00	9.645714285714286	3.908571428571428	1	0	1	Day
2013-01-29 00:00:00	11.419999999999998	6.6742857142857135	1	1	1	Day
2013-01-30 00:00:00	14.300000000000002	8.817142857142859	1	2	1	Day
2013-01-31 00:00:00	12.534285714285716	6.791428571428571	1	3	1	Day
2013-02-01 00:00:00	11.425714285714287	7.728571428571429	2	4	1	Day
2013-02-02 00:00:00	7.631428571428571	2.962857142857143	2	5	0	Day
2013-02-03 00:00:00	6.4	1.6885714285714284	2	6	0	Day
2013-02-04 00:00:00	10.474285714285713	5.048571428571428	2	0	1	Day
2013-02-05 00:00:00	7.6171428571428565	3.8485714285714283	2	1	1	Day
2013-02-06 00:00:00	6.368571428571428	3.1785714285714284	2	2	1	Day
2013-02-07 00:00:00	5.4228571428571435	1.8285714285714285	2	3	1	Day
2013-02-08 00:00:00	4.859999999999999	0.8514285714285714	2	4	1	Day
2013-02-09 00:00:00	4.62	-0.03714285714285712	2	5	0	Day
2013-02-10 00:00:00	4.3828571428571435	0.2857142857142858	2	6	0	Day
2013-02-11 00:00:00	5.168571428571429	1.6228571428571428	2	0	1	Day
2013-02-12 00:00:00	4.502857142857143	0.9085714285714285	2	1	1	Day
2013-02-13 00:00:00	4.337142857142856	0.5085714285714285	2	2	1	Day
2013-02-14 00:00:00	7.01142857142857	0.1171428571428571	2	3	1	Day
2013-02-15 00:00:00	9.042857142857144	3.2885714285714283	2	4	1	Day
2013-02-16 00:00:00	8.702857142857143	1.0457142857142858	2	5	0	Day
2013-02-17 00:00:00	8.128571428571428	0.3171428571428571	2	6	0	Day
2013-02-18 00:00:00	8.540000000000001	0.9799999999999999	2	0	1	Day
2013-02-19 00:00:00	9.785714285714286	-1.0914285714285714	2	1	1	Day
2013-02-20 00:00:00	8.885714285714286	0.19999999999999998	2	2	1	Day
2013-02-21 00:00:00	4.702857142857143	-0.8542857142857143	2	3	1	Day
2013-02-22 00:00:00	2.2285714285714286	-2.5257142857142854	2	4	1	Day
2013-02-23 00:00:00	0.008571428571428567	-3.16	2	5	0	Day
2013-02-24 00:00:00	1.314285714285714	-1.8142857142857143	2	6	0	Day
2013-02-25 00:00:00	3.3114285714285714	-0.7828571428571428	2	0	1	Day
2013-02-26 00:00:00	4.948571428571429	-0.8514285714285713	2	1	1	Day
2013-02-27 00:00:00	5.837142857142856	0.5542857142857143	2	2	1	Day
2013-02-28 00:00:00	6.814285714285714	0.5457142857142857	2	3	1	Day
2013-03-01 00:00:00	6.114285714285714	2.3200000000000003	3	4	1	Day
2013-03-02 00:00:00	6.268571428571428	1.68	3	5	0	Day
2013-03-03 00:00:00	9.58	0.0714285714285714	3	6	0	Day
2013-03-04 00:00:00	13.982857142857142	0.5714285714285714	3	0	1	Day
2013-03-05 00:00:00	13.66	6.517142857142857	3	1	1	Day
2013-03-06 00:00:00	12.594285714285713	8.268571428571429	3	2	1	Day
2013-03-07 00:00:00	14.725714285714284	8.622857142857141	3	3	1	Day
2013-03-08 00:00:00	14.005714285714285	9.165714285714282	3	4	1	Day
