"Date"	"MaxTemperature	"MinTemperature	"Month"	"WeekDay"	"is_WeekDay"	"Holiday"	"Index"	"OddWeekday"	"OddHoliday"	"OddTemp"	"OddNeighbor"	"HD_predicted"	"nonWorkingDay"	"ToTag"
2013-02-18 00:00:00	8.526500000000002	0.96405	2	0	1	Day	53	0	0	0	0	0	0	0
2013-02-19 00:00:00	9.97035	-0.78125	2	1	1	Day	54	0	0	0	0	0	0	0
2013-02-20 00:00:00	8.81905	0.34605	2	2	1	Day	55	0	0	0	0	0	0	0
2013-02-21 00:00:00	4.31125	-0.7537999999999998	2	3	1	Day	56	0	0	0	0	0	0	0
2013-02-22 00:00:00	1.77435	-2.4408000000000003	2	4	1	Day	57	0	0	0	0	0	0	0
2013-02-23 00:00:00	-0.16009999999999994	-3.32305	2	5	0	Day	58	0	0	0	0	0	0	0
2013-02-24 00:00:00	1.2851	-1.8635	2	6	0	Day	59	0	0	0	0	0	0	0
2013-02-25 00:00:00	2.9693000000000005	-0.5983499999999999	2	0	1	Day	60	0	0	0	0	0	0	0
2013-02-26 00:00:00	4.6706	-0.4048000000000001	2	1	1	Day	61	0	0	0	0	0	0	0
2013-02-27 00:00:00	5.281550000000001	0.7258500000000003	2	2	1	Day	62	0	0	0	0	0	0	0
2013-02-28 00:00:00	6.1064500000000015	0.6225500000000002	2	3	1	Day	63	0	0	0	0	0	0	0
2013-03-01 00:00:00	5.45255	2.0525	3	4	1	Day	64	0	0	0	0	0	0	0
2013-03-02 00:00:00	5.478500000000001	1.700275	3	5	0	Day	65	0	0	0	0	0	0	0
2013-03-03 00:00:00	9.355099999999998	0.3727	3	6	0	Day	66	0	0	0	0	0	0	0
2013-03-04 00:00:00	14.33435	0.7494000000000001	3	0	1	Day	67	0	0	0	0	0	0	0
2013-03-05 00:00:00	14.149349999999998	6.84995	3	1	1	Day	68	0	0	0	0	0	0	0
2013-03-06 00:00:00	12.866249999999996	8.6937	3	2	1	Day	69	0	0	0	0	0	0	0
2013-03-07 00:00:00	14.9491	8.870199999999997	3	3	1	Day	70	0	0	0	0	0	0	0
2013-03-08 00:00:00	13.8742	9.4991	3	4	1	Day	71	0	0	0	0	0	0	0
2013-03-09 00:00:00	14.648700000000002	7.356550000000001	3	5	0	Day	72	0	0	0	0	0	0	0
2013-03-10 00:00:00	11.9146	5.737500000000002	3	6	0	Day	73	0	0	0	0	0	0	0
2013-03-11 00:00:00	8.51285	4.1317	3	0	1	Day	74	0	0	0	0	0	0	0
2013-03-12 00:00:00	4.1559	0.3477750000000001	3	1	1	Day	75	0	0	0	0	0	0	0
2013-03-13 00:00:00	3.856500000000001	-1.9505000000000003	3	2	1	Day	76	0	0	0	0	0	0	0
2013-03-14 00:00:00	4.9376	-0.32309999999999994	3	3	1	Day	77	0	0	0	0	0	0	0
2013-03-15 00:00:00	7.189850000000002	-1.8256	3	4	1	Day	78	0	0	0	0	0	0	0
2013-03-16 00:00:00	9.43665	0.7164500000000003	3	5	0	Day	79	0	0	0	0	0	0	0
2013-03-17 00:00:00	8.4364	4.514525000000001	3	6	0	Day	80	0	0	0	0	0	0	0
2013-03-18 00:00:00	7.879650000000002	2.95355	3	0	1	Day	81	0	0	0	0	0	0	0
2013-03-19 00:00:00	9.8294	3.5535	3	1	1	Day	82	0	0	0	0	0	0	0
2013-03-20 00:00:00	10.06705	4.7982000000000005	3	2	1	Day	83	0	0	0	0	0	0	0
2013-03-21 00:00:00	11.57785	3.4683	3	3	1	Day	84	0	0	0	0	0	0	0
2013-03-22 00:00:00	14.81285	5.0513	3	4	1	Day	85	0	0	0	0	0	0	0
2013-03-23 00:00:00	12.119000000000002	6.88205	3	5	0	Day	86	0	0	0	0	0	0	0
2013-03-24 00:00:00	9.4263	5.65525	3	6	0	Day	87	0	0	0	0	0	0	0
2013-03-25 00:00:00	9.19655	4.37565	3	0	1	Day	88	0	0	0	0	0	0	0
2013-03-26 00:00:00	7.999650000000001	3.2459	3	1	1	Day	89	0	0	0	0	0	0	0
2013-03-27 00:00:00	8.7618	1.91035	3	2	1	Day	90	0	0	0	0	0	0	0
2013-03-28 00:00:00	7.6189	3.4051	3	3	1	Day	91	0	0	0	0	0	0	0
2013-03-29 00:00:00	8.46805	2.3271	3	4	1	Day	92	0	0	0	0	0	0	0
