Date	MaxTemperature	MinTemperature	MeanTemperature	DailyConsumption	Month	Weekday	is_WeekDay	Holiday	Index	year	load_variation_mean	potential_bridge_holiday	snow	floods	storm	hurricane	heavy_rains	cold	hot	OddWeekday	OddHoliday	OddTemp	OddNeighbor	HD_predicted	nonWorkingDay	ToTag
2013-01-20 00:00:00	2.1241000000000003	0.005350000000000216	1.2924208333333336	3472311.0	1	6	0	Day	24	2013.0	0.09740702468056643	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0	0	0	0	0	0	0
2013-01-21 00:00:00	4.3996	0.9969	2.4924828125	3754379.0	1	0	1	Day	25	2013.0	0.10051090196496126	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0	0	0	0	0	0	0
2013-01-22 00:00:00	5.468400000000003	1.61795	3.11610625	3779337.0	1	1	1	Day	26	2013.0	0.10607371809400559	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0	0	0	0	0	0	0
2013-01-23 00:00:00	4.4503	1.46025	2.7118109375000006	3753570.0	1	2	1	Day	27	2013.0	0.10104035556012424	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0	0	0	0	0	0	0
2013-01-24 00:00:00	3.72665	0.14604999999999996	1.8471932291666668	3768548.0	1	3	1	Day	28	2013.0	0.10300004453819382	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0	0	0	0	0	0	0
2013-01-25 00:00:00	1.9073	-1.9472	-0.21377031249999998	3900894.0	1	4	1	Day	29	2013.0	0.10501836428351298	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0	0	0	0	0	0	0
2013-01-26 00:00:00	5.927850000000001	-0.83415	2.1328119791666666	3564364.0	1	5	0	Day	30	2013.0	0.09892609455930577	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0	0	0	0	0	0	0
2013-01-27 00:00:00	8.1722	3.25325	5.314770833333333	3251390.0	1	6	0	Day	31	2013.0	0.09315540571001289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-01-28 00:00:00	9.652550000000002	3.8937	6.495836458333333	3488720.0	1	0	1	Day	32	2013.0	0.10697627657166593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-01-29 00:00:00	11.381049999999998	7.251150000000003	9.113839583333334	3425088.0	1	1	1	Day	33	2013.0	0.10386351583768781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0	0	0	0	0	0
2013-01-30 00:00:00	14.0227	8.624900000000002	10.896238541666667	3215000.0	1	2	1	Day	34	2013.0	0.10621585328733793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0	0	0	0	0	0
2013-01-31 00:00:00	12.258299999999998	6.2837999999999985	9.171400520833332	3218696.0	1	3	1	Day	35	2013.0	0.10066547398771021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-01 00:00:00	11.386850000000004	7.464100000000001	9.305277083333333	3171954.0	2	4	1	Day	36	2013.0	0.09950351878221836	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-02 00:00:00	7.373699999999999	2.73285	5.428051562499999	3069090.0	2	5	0	Day	37	2013.0	0.09595546901865994	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-03 00:00:00	6.07255	1.3507000000000002	3.6900520833333332	3150131.0	2	6	0	Day	38	2013.0	0.08926090141270691	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-04 00:00:00	10.50055	5.27745	7.9655609375	3370296.0	2	0	1	Day	39	2013.0	0.1045564249051829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-05 00:00:00	7.6033	3.62375	6.163746875000001	3438202.0	2	1	1	Day	40	2013.0	0.10338736294002442	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-06 00:00:00	6.6439499999999985	3.1793250000000004	4.472065104166667	3595901.0	2	2	1	Day	41	2013.0	0.10386351583768778	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-07 00:00:00	5.40905	1.8154	3.3409541666666676	3694639.0	2	3	1	Day	42	2013.0	0.10491709295826368	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-08 00:00:00	4.8069	1.1182	2.575829166666667	3618797.0	2	4	1	Day	43	2013.0	0.10107055928870741	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-09 00:00:00	4.33405	0.2805500000000001	1.9001833333333336	3454693.0	2	5	0	Day	44	2013.0	0.09732174356456699	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-10 00:00:00	4.452600000000001	0.8016500000000002	2.369421354166667	3335448.0	2	6	0	Day	45	2013.0	0.09212137217852016	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-11 00:00:00	5.897850000000001	2.19635	3.7327015625000004	3577580.0	2	0	1	Day	46	2013.0	0.10221297090511604	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-12 00:00:00	4.431749999999999	1.3159000000000003	2.6493114583333335	3699788.0	2	1	1	Day	47	2013.0	0.10225205808328239	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-13 00:00:00	4.1208	0.65225	2.049275	3710993.0	2	2	1	Day	48	2013.0	0.1055229442198428	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-14 00:00:00	7.39175	0.5494500000000002	3.6748859374999996	3696175.0	2	3	1	Day	49	2013.0	0.10650190036391927	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-15 00:00:00	9.1802	3.5739000000000005	5.805322916666667	3464893.0	2	4	1	Day	50	2013.0	0.1083851916755727	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-16 00:00:00	8.6903	1.00215	4.4002609375	3184425.0	2	5	0	Day	51	2013.0	0.0955965776554958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-17 00:00:00	7.72895	0.6121	3.5417953125	3081298.0	2	6	0	Day	52	2013.0	0.09190639269860501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-18 00:00:00	8.526500000000002	0.96405	3.9992395833333334	3405926.0	2	0	1	Day	53	2013.0	0.1079001553283261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-19 00:00:00	9.97035	-0.78125	3.9355046875	3501034.0	2	1	1	Day	54	2013.0	0.1177838813346734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-20 00:00:00	8.81905	0.34605	4.0844671875	3497927.0	2	2	1	Day	55	2013.0	0.11002862984847783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-21 00:00:00	4.31125	-0.7537999999999998	1.591019270833333	3687636.0	2	3	1	Day	56	2013.0	0.10283481237594494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-22 00:00:00	1.77435	-2.4408000000000003	-0.5143348958333332	3792640.0	2	4	1	Day	57	2013.0	0.09531053057891445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-23 00:00:00	-0.16009999999999994	-3.32305	-1.6406901041666666	3751974.0	2	5	0	Day	58	2013.0	0.09702325965856912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-24 00:00:00	1.2851	-1.8635	-0.3540770833333333	3617665.0	2	6	0	Day	59	2013.0	0.09267925281234958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-25 00:00:00	2.9693000000000005	-0.5983499999999999	0.8577770833333336	3849197.0	2	0	1	Day	60	2013.0	0.09652933986173926	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-26 00:00:00	4.6706	-0.4048000000000001	1.7037791666666668	3817881.0	2	1	1	Day	61	2013.0	0.1022520580832824	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-27 00:00:00	5.281550000000001	0.7258500000000003	2.6011812500000002	3756260.0	2	2	1	Day	62	2013.0	0.0981923216237276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-02-28 00:00:00	6.1064500000000015	0.6225500000000002	3.1059098958333333	3680047.0	2	3	1	Day	63	2013.0	0.09805373981022857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-03-01 00:00:00	5.45255	2.0525	3.479595833333333	3664954.0	3	4	1	Day	64	2013.0	0.1033571592114413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
2013-03-02 00:00:00	5.478500000000001	1.700275	3.3588166666666672	3355343.0	3	5	0	Day	65	2013.0	0.09683137714757047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
