ds,consommation_france,temperature,is_holiday_day,prev_J_1
2018-01-02 17:30:00,67822.0,10.371135689480287,0,66200.0
2018-01-02 18:00:00,69383.0,10.392682926829268,0,68400.0
2018-01-02 18:30:00,70236.0,10.427898515117668,0,69000.0
2018-01-02 19:00:00,71341.0,10.474055685526352,0,69800.0
2018-01-02 19:30:00,70448.0,10.527344714365984,0,68800.0
2018-01-02 20:00:00,68723.0,10.583565966847098,0,67400.0
2018-01-02 20:30:00,66592.0,10.638827706140727,0,65700.0
2018-01-02 21:00:00,64360.0,10.690243902439024,0,63900.0
2018-01-02 21:30:00,62640.0,10.736619444489339,0,61900.0
2018-01-02 22:00:00,61094.0,10.778807815438672,0,60500.0
2018-01-02 22:30:00,61099.0,10.819237331927312,0,61500.0
2018-01-02 23:00:00,63456.0,10.861109847492848,0,63600.0
2018-01-02 23:30:00,62829.0,10.9075868584476,0,62800.0
2018-01-03 00:00:00,62624.0,10.960975609756098,0,60500.0
2018-01-03 00:30:00,60699.0,11.021927873240239,0,58100.0
2018-01-03 01:00:00,57892.0,11.088968206304989,0,55800.0
2018-01-03 01:30:00,56950.0,11.158858584293004,0,55900.0
2018-01-03 02:00:00,56219.0,11.227292513359856,0,55400.0
2018-01-03 02:30:00,55665.0,11.289601815676901,0,53900.0
2018-01-03 03:00:00,53669.0,11.341463414634145,0,52000.0
2018-01-03 03:30:00,52486.0,11.379599777844335,0,50700.0
2018-01-03 04:00:00,51480.0,11.402314462977063,0,49800.0
2018-01-03 04:30:00,51260.0,11.40960907846936,0,49500.0
2018-01-03 05:00:00,51479.0,11.403135347066344,0,50000.0
2018-01-03 05:30:00,53276.0,11.386140827163072,0,51500.0
2018-01-03 06:00:00,54621.0,11.363414634146345,0,52900.0
2018-01-03 06:30:00,57547.0,11.34122477736682,0,55400.0
2018-01-03 07:00:00,59570.0,11.327037503498234,0,57500.0
2018-01-03 07:30:00,62056.0,11.328683271494766,0,59500.0
2018-01-03 08:00:00,64048.0,11.353304733935495,0,61600.0
2018-01-03 08:30:00,65272.0,11.406296333999192,0,62500.0
2018-01-03 09:00:00,65808.0,11.490243902439024,0,63200.0
2018-01-03 09:30:00,66469.0,11.603883463498654,0,64100.0
2018-01-03 10:00:00,67284.0,11.741559473302116,0,64800.0
2018-01-03 10:30:00,67659.0,11.893950848369625,0,65400.0
2018-01-03 11:00:00,67948.0,12.049296426607231,0,65400.0
2018-01-03 11:30:00,68467.0,12.194639637237742,0,65900.0
2018-01-03 12:00:00,69081.0,12.317073170731707,0,66800.0
2018-01-03 12:30:00,69003.0,12.404975893017552,0,66100.0
2018-01-03 13:00:00,69514.0,12.449048110951354,0,67200.0
2018-01-03 13:30:00,68648.0,12.442834960214856,0,65300.0
2018-01-03 14:00:00,68161.0,12.383048144473053,0,64700.0
2018-01-03 14:30:00,67654.0,12.269879918811018,0,64800.0
2018-01-03 15:00:00,66812.0,12.107317073170734,0,63000.0
2018-01-03 15:30:00,66162.0,11.903438664765932,0,62500.0
2018-01-03 16:00:00,65804.0,11.670291223925949,0,62300.0
2018-01-03 16:30:00,65445.0,11.422691392490014,0,62300.0
2018-01-03 17:00:00,66103.0,11.176606035630577,0,63500.0
2018-01-03 17:30:00,68214.0,10.94751610265459,0,66000.0
2018-01-03 18:00:00,70129.0,10.748780487804881,0,68000.0
2018-01-03 18:30:00,71057.0,10.590022000989512,0,69300.0
2018-01-03 19:00:00,72239.0,10.476088196640962,0,70500.0
2018-01-03 19:30:00,71677.0,10.407471457827745,0,69100.0
2018-01-03 20:00:00,69847.0,10.381303938495797,0,67100.0
2018-01-03 20:30:00,67549.0,10.39237461563796,0,64800.0
2018-01-03 21:00:00,65219.0,10.434146341463414,0,62600.0
2018-01-03 21:30:00,63760.0,10.499764559791886,0,60600.0
2018-01-03 22:00:00,62342.0,10.582849292291213,0,59000.0
2018-01-03 22:30:00,62550.0,10.677736963547893,0,62500.0
2018-01-03 23:00:00,65129.0,10.77950549598108,0,62500.0
2018-01-03 23:30:00,64381.0,10.883991068981222,0,61200.0
2018-01-04 00:00:00,63979.0,10.98780487804878,0,61700.0
2018-01-04 00:30:00,62138.0,11.088349404616773,0,59700.0
2018-01-04 01:00:00,59225.0,11.183821963655062,0,57200.0
2018-01-04 01:30:00,58439.0,11.273185956412547,0,57400.0
2018-01-04 02:00:00,57552.0,11.356129400941107,0,56800.0
2018-01-04 02:30:00,56919.0,11.433022973303359,0,55200.0
2018-01-04 03:00:00,54918.0,11.504878048780489,0,53200.0
2018-01-04 03:30:00,53603.0,11.573303687128265,0,51800.0
2018-01-04 04:00:00,52615.0,11.640436163087285,0,51000.0
2018-01-04 04:30:00,52265.0,11.708798804076912,0,50400.0
2018-01-04 05:00:00,52360.0,11.781134373143413,0,51000.0
2018-01-04 05:30:00,53946.0,11.860236395956337,0,52400.0
2018-01-04 06:00:00,55280.0,11.948780487804875,0,53900.0
2018-01-04 06:30:00,58184.0,12.049155044408348,0,56300.0
2018-01-04 07:00:00,60204.0,12.163275391893627,0,58200.0
2018-01-04 07:30:00,62435.0,12.292355948503909,0,60200.0
2018-01-04 08:00:00,64286.0,12.436665845474453,0,62100.0
2018-01-04 08:30:00,65325.0,12.59528391172239,0,63100.0
2018-01-04 09:00:00,65572.0,12.765853658536587,0,63800.0
2018-01-04 09:30:00,66149.0,12.944344243554706,0,64900.0
2018-01-04 10:00:00,66496.0,13.124966896209273,0,65900.0
2018-01-04 10:30:00,66948.0,13.300485976133325,0,66300.0
2018-01-04 11:00:00,67291.0,13.462685493035051,0,66600.0
2018-01-04 11:30:00,67870.0,13.602841605859652,0,67100.0
2018-01-04 12:00:00,68511.0,13.71219512195122,0,68000.0
2018-01-04 12:30:00,68382.0,13.78242597836799,0,67400.0
2018-01-04 13:00:00,68820.0,13.806179259184187,0,68500.0
2018-01-04 13:30:00,67756.0,13.777722034911973,0,65900.0
2018-01-04 14:00:00,67077.0,13.693651737910042,0,65300.0
2018-01-04 14:30:00,66644.0,13.553606519945559,0,65000.0
2018-01-04 15:00:00,65365.0,13.360975609756096,0,63200.0
2018-01-04 15:30:00,64865.0,13.123586347872946,0,62600.0
2018-01-04 16:00:00,64207.0,12.853784830241015,0,62000.0
2018-01-04 16:30:00,64063.0,12.566977251091313,0,62000.0
2018-01-04 17:00:00,64173.0,12.279564854610033,0,63100.0
2018-01-04 17:30:00,65674.0,12.006855563868994,0,65000.0
2018-01-04 18:00:00,67735.0,11.760975609756095,0,66400.0
2018-01-04 18:30:00,68727.0,11.548815845290019,0,67900.0
2018-01-04 19:00:00,69998.0,11.370879879925793,0,68600.0
2018-01-04 19:30:00,69424.0,11.222421449221642,0,67500.0
2018-01-04 20:00:00,67855.0,11.095483604496684,0,65700.0
2018-01-04 20:30:00,65485.0,10.980972587872897,0,63500.0
2018-01-04 21:00:00,63257.0,10.870731707317074,0,61400.0
2018-01-04 21:30:00,61668.0,10.759584480086119,0,59800.0
2018-01-04 22:00:00,60318.0,10.646578754659494,0,58400.0
2018-01-04 22:30:00,60350.0,10.534202547292773,0,59200.0
2018-01-04 23:00:00,62835.0,10.426800857058359,0,61800.0
2018-01-04 23:30:00,62246.0,10.328961749289508,0,61200.0
2018-01-05 00:00:00,62241.0,10.24390243902439,0,60400.0
2018-01-05 00:30:00,60134.0,10.171882949155997,0,58500.0
2018-01-05 01:00:00,57147.0,10.109336710934754,0,56100.0
2018-01-05 01:30:00,56570.0,10.049821095058693,0,56000.0
2018-01-05 02:00:00,55778.0,9.985684885116337,0,55700.0
2018-01-05 02:30:00,55541.0,9.909763325735431,0,54800.0
2018-01-05 03:00:00,53401.0,9.817073170731707,0,53100.0
2018-01-05 03:30:00,52542.0,9.7064835736189,0,52000.0
2018-01-05 04:00:00,51604.0,9.5817588795129,0,51200.0
2018-01-05 04:30:00,51430.0,9.451007012882293,0,50800.0
2018-01-05 05:00:00,51645.0,9.325499766693005,0,51500.0
2018-01-05 05:30:00,53393.0,9.218468933914236,0,53100.0
2018-01-05 06:00:00,55005.0,9.143902439024387,0,54500.0
2018-01-05 06:30:00,58027.0,9.115340806646016,0,56700.0
2018-01-05 07:00:00,60052.0,9.144682395535034,0,58700.0
2018-01-05 07:30:00,62475.0,9.241010883084476,0,60800.0
2018-01-05 08:00:00,64520.0,9.409431515182561,0,62900.0
2018-01-05 08:30:00,65593.0,9.649907693199712,0,63900.0
2018-01-05 09:00:00,66088.0,9.956097560975607,0,64800.0
2018-01-05 09:30:00,66632.0,10.314226198711292,0,65900.0
2018-01-05 10:00:00,66885.0,10.702883596392748,0,66700.0
2018-01-05 10:30:00,66948.0,11.09517268294822,0,67300.0
2018-01-05 11:00:00,67223.0,11.461783134937045,0,67600.0
2018-01-05 11:30:00,67706.0,11.774100792143507,0,67900.0
2018-01-05 12:00:00,67910.0,12.007317073170734,0,68900.0
2018-01-05 12:30:00,67605.0,12.143501095166545,0,68200.0
2018-01-05 13:00:00,67937.0,12.173702100981615,0,69300.0
2018-01-05 13:30:00,66622.0,12.097590359040284,0,67100.0
2018-01-05 14:00:00,65795.0,11.92212837064364,0,66800.0
2018-01-05 14:30:00,65461.0,11.66020478140458,0,66700.0
2018-01-05 15:00:00,64031.0,11.329268292682926,0,65200.0
2018-01-05 15:30:00,63323.0,10.949959143542118,0,64700.0
2018-01-05 16:00:00,63004.0,10.544677426268134,0,64400.0
2018-01-05 16:30:00,62718.0,10.135991056315644,0,64400.0
2018-01-05 17:00:00,63003.0,9.744980575816284,0,65200.0
2018-01-05 17:30:00,65099.0,9.389581527608664,0,67400.0
2018-01-05 18:00:00,67554.0,9.082926829268294,0,69000.0
2018-01-05 18:30:00,68735.0,8.83172067612429,0,69600.0
2018-01-05 19:00:00,69754.0,8.635432197931111,0,70300.0
2018-01-05 19:30:00,69259.0,8.487570028664683,0,69200.0
2018-01-05 20:00:00,67762.0,8.377776629973589,0,67600.0
2018-01-05 20:30:00,65707.0,8.293954143616967,0,65500.0
2018-01-05 21:00:00,63620.0,8.22439024390244,0,63700.0
2018-01-05 21:30:00,62192.0,8.159857553582201,0,62100.0
2018-01-05 22:00:00,60863.0,8.09502570966211,0,60900.0
2018-01-05 22:30:00,61424.0,8.028128617451376,0,61900.0
2018-01-05 23:00:00,64061.0,7.95994435452523,0,64700.0
2018-01-05 23:30:00,63477.0,7.892748638145792,0,64000.0
2018-01-06 00:00:00,63327.0,7.829268292682928,0,62000.0
2018-01-06 00:30:00,61321.0,7.771645816845528,0,59800.0
2018-01-06 01:00:00,58365.0,7.7206925459838684,0,57400.0
2018-01-06 01:30:00,57630.0,7.675874401880002,0,57700.0
2018-01-06 02:00:00,56886.0,7.635586237609235,0,57100.0
2018-01-06 02:30:00,56242.0,7.597437282212023,0,55500.0
2018-01-06 03:00:00,54221.0,7.558536585365852,0,53600.0
2018-01-06 03:30:00,52921.0,7.515783132948793,0,52500.0
2018-01-06 04:00:00,51787.0,7.466277405785843,0,51400.0
2018-01-06 04:30:00,51344.0,7.408041217243977,0,51000.0
2018-01-06 05:00:00,51067.0,7.340858994010014,0,50700.0
2018-01-06 05:30:00,51956.0,7.267123727760108,0,51600.0
2018-01-06 06:00:00,52409.0,7.192682926829268,0,52400.0
2018-01-06 06:30:00,53621.0,7.127652284738057,0,53600.0
2018-01-06 07:00:00,54519.0,7.0863899870063305,0,54700.0
2018-01-06 07:30:00,55777.0,7.085340330541773,0,55900.0
2018-01-06 08:00:00,56931.0,7.14003798131547,0,57200.0
2018-01-06 08:30:00,58057.0,7.262079948894683,0,58100.0
2018-01-06 09:00:00,58888.0,7.45609756097561,0,59400.0
2018-01-06 09:30:00,60385.0,7.716789405310499,0,61100.0
2018-01-06 10:00:00,61366.0,8.0275394238877,0,62300.0
2018-01-06 10:30:00,62068.0,8.363058855138343,0,63500.0
2018-01-06 11:00:00,62562.0,8.693613328395985,0,63700.0
2018-01-06 11:30:00,63126.0,8.989310925750578,0,64400.0
2018-01-06 12:00:00,63906.0,9.22439024390244,0,65400.0
2018-01-06 12:30:00,64730.0,9.381450330058152,0,65600.0
2018-01-06 13:00:00,65551.0,9.454169342916645,0,66800.0
2018-01-06 13:30:00,63751.0,9.446186900422626,0,64200.0
2018-01-06 14:00:00,62349.0,9.368475152610204,0,62700.0
2018-01-06 14:30:00,61516.0,9.236651728488427,0,62200.0
2018-01-06 15:00:00,60050.0,9.068292682926833,0,60600.0
2018-01-06 15:30:00,59497.0,8.8802704243389,0,59900.0
2018-01-06 16:00:00,58824.0,8.686741143111536,0,59500.0
2018-01-06 16:30:00,58778.0,8.498780972697471,0,59700.0
2018-01-06 17:00:00,59271.0,8.324671651453677,0,60600.0
2018-01-06 17:30:00,61324.0,8.17021116527768,0,63200.0
2018-01-06 18:00:00,63603.0,8.039024390243902,0,65300.0
2018-01-06 18:30:00,64707.0,7.9328735071822045,0,66500.0
2018-01-06 19:00:00,65706.0,7.851962486753697,0,67800.0
2018-01-06 19:30:00,65466.0,7.795226522712009,0,67100.0
2018-01-06 20:00:00,64462.0,7.760615535661832,0,66000.0
2018-01-06 20:30:00,62879.0,7.745377448759678,0,64300.0
2018-01-06 21:00:00,61403.0,7.746341463414633,0,62600.0
2018-01-06 21:30:00,60074.0,7.760199858615671,0,61400.0
