"Date"	"MaxTemperature	"MinTemperature	"Month"	"WeekDay"	"is_WeekDay"	"Holiday"	"Index"	"OddWeekday"	"OddHoliday"	"OddTemp"
2012-12-28 00:00:00	11.280000000000001	7.748571428571428	12	4	1	Day	1	0	0	0
2012-12-29 00:00:00	12.688571428571427	5.837142857142857	12	5	0	Day	2	0	0	0
2012-12-30 00:00:00	10.825714285714286	6.145714285714287	12	6	0	Day	3	0	0	0
2012-12-31 00:00:00	10.957142857142854	5.5285714285714285	12	0	1	Day	4	0	0	0
2013-01-01 00:00:00	8.86857142857143	4.65	1	1	1	Holiday	5	0	0	0
2013-01-02 00:00:00	8.48	3.8628571428571425	1	2	1	Day	6	0	0	0
2013-01-03 00:00:00	9.49142857142857	4.8428571428571425	1	3	1	Day	7	0	0	0
2013-01-04 00:00:00	10.262857142857143	6.720000000000001	1	4	1	Day	8	0	0	0
2013-01-05 00:00:00	9.391428571428573	6.6171428571428565	1	5	0	Day	9	0	0	0
2013-01-06 00:00:00	8.751428571428571	5.8828571428571435	1	6	0	Day	10	0	0	0
2013-01-07 00:00:00	7.96857142857143	4.434285714285715	1	0	1	Day	11	0	0	0
2013-01-08 00:00:00	6.617142857142857	3.285714285714285	1	1	1	Day	12	0	0	0
2013-01-09 00:00:00	6.042857142857143	2.674285714285714	1	2	1	Day	13	0	0	0
2013-01-10 00:00:00	8.485714285714286	4.168571428571428	1	3	1	Day	14	0	0	0
2013-01-11 00:00:00	8.282857142857143	3.604285714285715	1	4	1	Day	15	0	0	0
2013-01-12 00:00:00	6.834285714285713	2.1999999999999997	1	5	0	Day	16	0	0	0
2013-01-13 00:00:00	4.877142857142857	2.3314285714285714	1	6	0	Day	17	0	0	0
2013-01-14 00:00:00	3.4485714285714284	0.78	1	0	1	Day	18	0	0	1
2013-01-15 00:00:00	3.740000000000001	1.0571428571428572	1	1	1	Day	19	0	0	0
2013-01-16 00:00:00	2.1514285714285712	-2.01	1	2	1	Day	20	0	0	0
2013-01-17 00:00:00	0.6971428571428571	-2.9685714285714284	1	3	1	Day	21	0	0	0
2013-01-18 00:00:00	0.6828571428571428	-3.3857142857142857	1	4	1	Day	22	0	0	1
2013-01-19 00:00:00	3.105714285714286	-0.1228571428571429	1	5	0	Day	23	0	0	0
2013-01-20 00:00:00	2.8114285714285714	0.8585714285714285	1	6	0	Day	24	0	0	0
2013-01-21 00:00:00	4.868571428571428	0.8171428571428572	1	0	1	Day	25	0	0	0
2013-01-22 00:00:00	5.8028571428571425	1.4028571428571428	1	1	1	Day	26	0	0	0
